Hour,Scherer,Bowen,Jack McDonough,Edwin I Hatch,Vogtle,Oil_Plant,Biomass_Plant,Gas_Plant,Hydro_Plant,Other_Coal_Plant
1,4.297632375,18.06154535,6.845892397,0,0,0,0,0,0,0
2,4.044416672,15.41309158,4.317318616,0,0,0,0,0,0,0
3,3.457261558,13.33861012,3.205779321,0,0,0,0,0,0,0
4,3.921142392,10.99846145,2.548841682,0,0,0,0,0,0,0
5,3.500277174,7.8776651,1.966659028,0,0,0,0,0,0,0
6,3.568609528,5.0886799,1.605574082,0,0,0,0,0,0,0
7,2.963480563,3.757508497,1.250225919,0,0,0,0,0,0,0
8,2.291329708,3.146415242,1.040004253,0,0,0,0,0,0,0
9,2.026906892,2.515310316,1.049869194,0,0,0,0,0,0,0
10,1.578396644,1.883477081,1.21156266,0,0,0,0,0,0,0
11,1.603592816,1.462124593,0.958532045,0,0,0,0,0,0,0
12,1.075436757,1.118290312,0.60027039,0,0,0,0,0,0,0
13,1.182009354,1.23337858,0.760936319,0,0,0,0,0,0,0
14,1.513219226,1.761525271,1.151961564,0,0,0,0,0,0,0
15,2.103163402,3.116369316,2.226505391,0,0,0,0,0,0,0
16,4.659132191,7.813051409,10.7075248,0,0,0,0,0,0,0
17,4.939038216,14.19583745,29.26276595,0,0,0,0,0,0,0
18,4.110057456,20.5258156,34.2391184,0,0,0,0,0,0,0
19,3.161171424,24.97706268,34.69484998,0,0,0,0,0,0,0
20,2.840247772,30.08082029,32.0426251,0,0,0,0,0,0,0
21,2.545707129,35.70569326,23.63510721,0,0,0,0,0,0,0
22,2.716076277,39.86558624,16.85446172,0,0,0,0,0,0,0
23,2.854743393,39.1947504,14.8414911,0,0,0,0,0,0,0
24,2.941301066,31.67998445,12.43276465,0,0,0,0,0,0,0
